sub_group_id,sub_group,super_group,dr_super_group
3602,Creative and professional writing,CREATIVE ARTS AND WRITING,HUMANITIES
3603,Music,CREATIVE ARTS AND WRITING,HUMANITIES
3604,Performing arts,CREATIVE ARTS AND WRITING,HUMANITIES
3605,Screen and digital media,CREATIVE ARTS AND WRITING,HUMANITIES
3606,Visual arts,CREATIVE ARTS AND WRITING,HUMANITIES
3699,Other creative arts and writing,CREATIVE ARTS AND WRITING,HUMANITIES
3701,Atmospheric sciences,EARTH SCIENCES,ENVIRONMENTAL SCIENCES
3702,Climate change science,EARTH SCIENCES,ENVIRONMENTAL SCIENCES
3703,Geochemistry,EARTH SCIENCES,ENVIRONMENTAL SCIENCES
3704,Geoinformatics,EARTH SCIENCES,ENVIRONMENTAL SCIENCES
3705,Geology,EARTH SCIENCES,ENVIRONMENTAL SCIENCES
3706,Geophysics,EARTH SCIENCES,ENVIRONMENTAL SCIENCES
3707,Hydrology,EARTH SCIENCES,ENVIRONMENTAL SCIENCES
3708,Oceanography,EARTH SCIENCES,ENVIRONMENTAL SCIENCES
3709,Physical geography and environmental geoscience,EARTH SCIENCES,ENVIRONMENTAL SCIENCES
3799,Other earth sciences,EARTH SCIENCES,ENVIRONMENTAL SCIENCES
3801,Applied economics,ECONOMICS,SOCIAL SCIENCE
3802,Econometrics,ECONOMICS,SOCIAL SCIENCE
3803,Economic theory,ECONOMICS,SOCIAL SCIENCE
3899,Other economics,ECONOMICS,SOCIAL SCIENCE
3901,Curriculum and pedagogy,EDUCATION,SOCIAL SCIENCE
3902,"Education policy, sociology and philosophy",EDUCATION,SOCIAL SCIENCE
3903,Education systems,EDUCATION,SOCIAL SCIENCE
3904,Specialist studies in education,EDUCATION,SOCIAL SCIENCE
3999,Other education,EDUCATION,SOCIAL SCIENCE
4001,Aerospace engineering,ENGINEERING,ENGINEERING
4002,Automotive engineering,ENGINEERING,ENGINEERING
4003,Biomedical engineering,ENGINEERING,ENGINEERING
4004,Chemical engineering,ENGINEERING,ENGINEERING
4005,Civil engineering,ENGINEERING,ENGINEERING
4006,Communications engineering,ENGINEERING,ENGINEERING
4007,"Control engineering, mechatronics and robotics",ENGINEERING,ENGINEERING
4008,Electrical engineering,ENGINEERING,ENGINEERING
4009,"Electronics, sensors and digital hardware",ENGINEERING,ENGINEERING
4010,Engineering practice and education,ENGINEERING,ENGINEERING
4011,Environmental engineering,ENGINEERING,ENGINEERING
4012,Fluid mechanics and thermal engineering,ENGINEERING,ENGINEERING
4013,Geomatic engineering,ENGINEERING,ENGINEERING
4014,Manufacturing engineering,ENGINEERING,ENGINEERING
4015,Maritime engineering,ENGINEERING,ENGINEERING
4016,Materials engineering,ENGINEERING,ENGINEERING
4017,Mechanical engineering,ENGINEERING,ENGINEERING
4018,Nanotechnology,ENGINEERING,ENGINEERING
4019,Resources engineering and extractive metallurgy,ENGINEERING,ENGINEERING
4099,Other engineering,ENGINEERING,ENGINEERING
4101,Climate change impacts and adaptation,ENVIRONMENTAL SCIENCES,ENVIRONMENTAL SCIENCES
